| Projeto / Módulo TCC | Funcionalidade Principal | Eixo BNCC Computação | Código / Habilidade BNCC | Artigo LDB Relacionado | Disciplinas Interdisciplinares | Impacto Pedagógico / Justificativa |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| PRJ 1.1 - Circuito com massa de modelar condutiva | Corrente Elétrica e Circuitos Fechados | Mundo Digital | EI03CO07 | Art. 26 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender corrente elétrica e circuitos fechados no contexto de Mundo Digital. |
| PRJ 1.2 - Classificação | Agrupamento por Atributos e Filtros | Pensamento Computacional | EI03CO01 | Art. 26 da LDB | Matemática | Desenvolve a capacidade de compreender agrupamento por atributos e filtros no contexto de Pensamento Computacional. |
| PRJ 1.3 - Ordenação | Algoritmos Sequenciais e Sequenciamento | Pensamento Computacional | EI03CO01 | Art. 26 da LDB | Matemática | Desenvolve a capacidade de compreender algoritmos sequenciais e sequenciamento no contexto de Pensamento Computacional. |
| PRJ 1.4 - Cartões com circuitos de papel | Fita de Cobre, LEDs e Conectividade | Pensamento Computacional | EI03CO01 | Art. 26 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender fita de cobre, leds e conectividade no contexto de Pensamento Computacional. |
| PRJ 1.5 - Simulação de portas lógicas | Lógica Booleana Básica (AND/OR Desplugado) | Pensamento Computacional | EI03CO01 | Art. 26 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender lógica booleana básica (and/or desplugado) no contexto de Pensamento Computacional. |
| PRJ 1.6 - Ventilador de bancada com motor DC | Atuadores, Motores DC e Circuito de Potência | Mundo Digital | EI03CO07 | Art. 26 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender atuadores, motores dc e circuito de potência no contexto de Mundo Digital. |
| PRJ 1.7 - Labirinto e lógica de decisão | Condicionais e Árvore de Decisão | Pensamento Computacional | EI03CO01 | Art. 26 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender condicionais e árvore de decisão no contexto de Pensamento Computacional. |
| PRJ 1.8 - Que animal é? Sons | Mapeamento de Entradas e Saídas Sonoras | Pensamento Computacional | EI03CO01 | Art. 26 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender mapeamento de entradas e saídas sonoras no contexto de Pensamento Computacional. |
| PRJ 2.1 - Semáforo | Variáveis, Temporização e Delays | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender variáveis, temporização e delays no contexto de Pensamento Computacional. |
